R0000100,T0897400,T0897500,T2053900,T2054000,T3024800,T3024900,T3955100,T3955200,T4892800,T4892900
1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,5,2,5,2,5,2,5,0,5,0
3,5,10,5,10,-5,-5,5,10,5,10
4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,5,5,5,5,5,5,5,5,5,5
7,5,9,5,9,-4,68,-5,-5,-5,-5
8,5,3,5,4,5,3,5,3,5,3
9,5,6,5,7,5,6,5,6,5,6
10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,6,0,-5,-5,-5,-5,-5,-5,-5,-5
14,5,8,5,8,5,8,5,8,5,7
15,6,2,6,2,6,2,6,2,6,2
16,5,4,5,4,5,4,5,4,5,4
17,5,10,5,9,5,9,5,9,5,9
18,5,9,5,9,5,9,5,9,5,9
19,5,5,-5,-5,5,5,-5,-5,-5,-5
20,5,4,5,4,-5,-5,5,4,5,4
21,5,2,5,2,5,2,5,2,5,2
22,5,4,5,4,5,4,5,4,5,3
23,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
25,5,6,5,6,5,6,5,6,5,6
26,-5,-5,-5,-5,5,8,5,7,-5,-5
27,5,2,5,2,5,2,5,2,5,2
28,-5,-5,-5,-5,5,5,-5,-5,-5,-5
29,5,8,5,9,5,8,5,8,5,8
30,5,4,5,4,5,4,5,4,5,4
31,5,10,5,10,5,10,5,9,5,9
32,5,2,-5,-5,5,2,-5,-5,-5,-5
33,5,7,5,7,5,7,5,8,5,7
34,5,11,5,10,5,11,5,10,5,10
35,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
36,5,10,5,10,5,10,5,10,5,11
37,5,7,5,7,5,6,5,6,5,-4
38,5,4,5,4,5,4,5,3,5,3
39,6,0,6,0,6,0,6,0,6,0
40,6,6,5,6,5,6,5,6,5,7
41,6,2,6,2,6,2,6,2,6,2
42,6,0,6,0,6,0,6,0,6,0
43,5,5,5,6,5,6,5,6,5,5
44,5,4,5,4,5,4,5,3,5,4
45,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,5,2,5,2,-5,-5,-5,-5,-5,-5
47,6,1,6,1,6,1,6,0,6,1
48,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
49,5,9,5,9,5,9,5,8,5,9
50,5,5,5,5,5,6,5,5,5,4
51,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5,-5,6,0,6,0
53,5,8,5,8,5,8,5,8,5,8
54,-5,-5,-5,-5,6,0,-5,-5,6,0
55,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,5,7,5,7,5,6,5,6,5,6
58,5,3,5,3,5,2,5,2,5,2
59,5,9,5,9,5,9,5,9,5,9
60,-5,-5,-5,-5,-5,-5,5,10,-5,-5
61,5,7,5,6,5,6,5,6,5,6
62,5,10,5,10,5,10,5,10,5,10
63,5,11,5,10,5,10,5,11,5,11
64,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,5,8,5,8,5,9,5,8,5,8
67,6,1,6,2,6,2,6,2,6,2
68,5,10,5,10,5,10,5,10,5,10
69,6,2,6,2,6,2,6,2,6,2
70,-5,-5,5,10,5,10,5,10,5,10
71,-5,-5,-5,-5,5,10,-5,-5,5,10
72,5,6,5,6,5,6,5,6,5,6
73,5,10,5,10,5,10,-5,-5,5,10
74,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
75,5,4,5,4,5,4,5,4,5,4
76,6,2,6,2,6,1,6,1,6,1
77,5,3,5,3,5,3,5,3,5,3
78,5,4,-5,-5,-5,-5,-5,-5,-5,-5
79,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
80,5,8,5,8,5,9,5,8,5,8
81,6,0,-5,-5,-5,-5,-5,-5,6,0
82,-5,-5,5,9,-5,-5,-5,-5,-5,-5
83,6,1,6,0,6,0,6,0,6,0
84,5,9,5,10,5,10,5,9,5,10
85,5,6,5,6,5,6,5,6,5,6
86,4,11,5,1,5,1,5,1,5,0
87,5,8,5,9,8,9,5,8,5,9
88,6,0,6,0,6,0,6,0,6,0
89,5,7,5,7,-5,-5,-5,-5,-5,-5
90,5,11,5,11,5,11,5,11,6,0
91,5,7,5,7,5,7,5,7,5,7
